time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.813248,-1.4822,-0.0628,-0.1633,1.492
1.817821,-1.4066,-0.0978,-0.1048,1.414
1.822792,-1.2833,-0.1705,-0.0156,1.295
1.827844,-1.1441,-0.2234,0.2334,1.189
1.833018,-0.9820,-0.2062,0.4029,1.081
1.837752,-0.7988,-0.2202,0.3735,0.909
1.841427,-0.6063,-0.2317,0.3942,0.759
1.846235,-0.4953,-0.2116,0.3334,0.633
1.850713,-0.3503,-0.2000,0.1431,0.428
1.855681,-0.2590,-0.1270,-0.0762,0.298
1.860426,-0.2005,0.0100,-0.3699,0.421
1.865299,-0.2093,0.1633,-0.6471,0.699
1.875313,-0.1526,0.1891,-0.8552,0.889
1.876049,0.0206,0.0562,-0.9987,1.000
1.882145,0.2250,-0.2191,-1.1136,1.157
1.884018,0.4417,-0.4842,-1.0849,1.267
1.891373,0.6253,-0.6251,-1.0632,1.383
1.893361,0.6898,-0.5202,-1.1201,1.415
1.898587,0.6317,-0.2290,-1.1077,1.296
1.903522,0.6087,-0.0207,-1.2509,1.391
1.907555,0.6476,0.1728,-1.3827,1.537
1.912748,0.6321,0.2805,-1.4457,1.603
1.916964,0.6825,0.2559,-1.5601,1.722
1.921875,0.6752,0.1303,-1.2856,1.458
1.926675,0.5726,0.1146,-0.4167,0.717
1.931457,0.3730,0.0838,0.3629,0.527
1.936479,0.1329,-0.0361,0.4443,0.465
1.941311,-0.0249,-0.0531,0.2041,0.212
1.945515,-0.0733,-0.1183,-0.2255,0.265
1.950153,-0.0506,-0.1670,-0.6746,0.697
1.955252,0.0789,-0.2297,-0.7035,0.744
1.959629,0.2060,-0.3082,-0.5351,0.651
1.964490,0.3765,-0.3300,-0.2369,0.554
1.975246,0.5347,-0.4307,0.1047,0.695
1.976079,0.5465,-0.5065,0.4296,0.860
1.979973,0.5390,-0.4904,0.7879,1.073
1.983709,0.6051,-0.5025,0.9908,1.265
1.990463,0.6654,-0.5686,1.0072,1.334
1.993035,0.7604,-0.6521,0.9616,1.389
1.998001,0.8569,-0.6589,0.7939,1.341
2.004032,0.9655,-0.6961,0.5330,1.304
