time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.345917,0.4067,-0.3380,0.2818,0.599
1.351057,0.5502,-0.3830,0.3220,0.744
1.357062,0.6782,-0.4129,0.3762,0.879
1.364210,0.8099,-0.4232,0.4395,1.014
1.369651,0.8977,-0.4282,0.5161,1.120
1.373010,0.9229,-0.4424,0.5536,1.164
1.376565,0.9622,-0.4179,0.5571,1.188
1.382182,0.9678,-0.3174,0.4744,1.124
1.387010,0.8974,-0.2031,0.3207,0.974
1.391348,0.8560,-0.1514,0.1917,0.890
1.396588,0.8244,-0.1333,0.0398,0.836
1.402136,0.7978,-0.1771,-0.0538,0.819
1.406391,0.8617,-0.2537,-0.1653,0.913
1.412176,0.9441,-0.3009,-0.2662,1.026
1.418159,1.0781,-0.2948,-0.3327,1.166
1.422920,1.1588,-0.2550,-0.3936,1.250
1.426303,1.2293,-0.2056,-0.3493,1.294
1.431689,1.3230,-0.1657,-0.3008,1.367
1.437987,1.3683,-0.1450,-0.2435,1.397
1.444423,1.3990,-0.1717,-0.1678,1.419
1.450707,1.3962,-0.1979,-0.1449,1.418
1.457360,1.3649,-0.1951,-0.1789,1.390
1.457846,1.2769,-0.1352,-0.2129,1.302
1.462146,1.2893,-0.1947,-0.2755,1.333
1.466539,1.3682,-0.2252,-0.3708,1.435
1.471799,1.4844,-0.2841,-0.4268,1.570
1.477126,1.5997,-0.3281,-0.5055,1.709
1.482754,1.7426,-0.3810,-0.5777,1.875
1.487327,1.8655,-0.3997,-0.6339,2.010
1.491727,1.9874,-0.4131,-0.7218,2.154
1.496738,2.0846,-0.4306,-0.8082,2.277
1.502142,2.1764,-0.4140,-0.9074,2.394
1.506660,2.2310,-0.3617,-1.0074,2.474
1.512214,2.2665,-0.3139,-1.0828,2.531
1.516444,2.3402,-0.2611,-1.1145,2.605
1.522432,2.3805,-0.2415,-1.1265,2.645
1.527156,2.4446,-0.2075,-1.0710,2.677
1.532699,2.5231,-0.1686,-1.0149,2.725
1.536541,2.6255,-0.1057,-0.9003,2.778
1.542731,2.7039,-0.0331,-0.7556,2.808
1.547945,2.7011,0.0443,-0.5662,2.760
1.551330,2.5693,0.0880,-0.3363,2.593
1.555910,2.3613,0.0929,-0.0131,2.363
1.563053,2.1011,0.1208,0.3462,2.133
1.566677,1.8270,0.0901,0.6979,1.958
1.571893,1.5246,-0.0042,1.0468,1.849
1.577287,1.2275,-0.1284,1.3781,1.850
1.582602,0.9165,-0.3257,1.6725,1.935
1.587590,0.5723,-0.5383,1.9388,2.092
1.591904,0.2477,-0.7757,2.1289,2.279
1.596978,-0.1245,-0.8989,2.1323,2.317
1.602740,-0.4389,-0.9509,2.0161,2.272
1.607345,-0.7003,-0.9080,1.8712,2.195
1.611900,-0.9616,-0.7369,1.7024,2.089
1.616858,-1.1126,-0.5575,1.5619,1.997
1.622491,-1.2205,-0.3985,1.4829,1.961
1.626320,-1.2375,-0.2838,1.4363,1.917
1.634673,-1.1924,-0.1366,1.3745,1.825
1.637182,-1.2336,-0.0570,1.3213,1.809
1.643983,-1.1505,-0.1544,1.2919,1.737
1.649947,-1.0148,-0.3131,1.1767,1.585
1.656229,-0.9080,-0.4514,1.0532,1.462
1.656750,-0.8539,-0.5785,0.9356,1.393
1.662121,-0.8478,-0.7471,0.7759,1.371
1.666734,-0.8751,-0.9618,0.5829,1.425
1.671843,-0.9599,-1.2516,0.3317,1.612
1.676259,-1.1164,-1.5207,0.0979,1.889
1.683119,-1.2823,-1.7310,-0.0955,2.156
1.687458,-1.4481,-1.8537,-0.2973,2.371
1.692496,-1.6855,-1.9985,-0.4980,2.661
1.697132,-1.9513,-2.0985,-0.5489,2.918
1.703570,-2.2072,-2.1252,-0.5314,3.110
1.706496,-2.5059,-2.0213,-0.4253,3.247
1.711734,-2.8472,-1.8830,-0.1918,3.419
1.718959,-3.2934,-1.6146,0.1029,3.669
1.722968,-3.8346,-1.2403,0.4690,4.057
1.727036,-4.2795,-0.8992,1.0258,4.492
1.732216,-4.7381,-0.5008,1.6007,5.026
1.737973,-5.2488,-0.0838,2.1700,5.680
1.744178,-5.6872,0.2505,2.7244,6.311
1.749528,-5.9862,0.5399,3.1542,6.788
1.754180,-6.1032,0.7982,3.3921,7.028
1.756491,-6.0766,0.9100,3.3329,6.990
1.761814,-5.8826,0.8940,3.1202,6.719
1.766382,-5.5504,0.7841,2.6158,6.186
1.771939,-5.0894,0.5566,1.9640,5.484
1.777740,-4.4569,0.2985,1.2135,4.629
1.782605,-3.7534,0.0877,0.5032,3.788
1.786135,-3.0173,-0.0652,-0.1675,3.023
1.792037,-2.2342,-0.1064,-0.8328,2.387
1.796883,-1.5333,-0.1258,-1.4404,2.108
1.802334,-1.0389,-0.0793,-2.0198,2.273
1.807154,-0.7269,0.0663,-2.5520,2.654
1.811262,-0.5011,0.3016,-3.0515,3.107
1.817073,-0.4574,0.4778,-3.5039,3.566
1.823801,-0.5285,0.6183,-3.7514,3.839
1.826593,-0.6568,0.8614,-3.8858,4.034
1.831801,-0.9381,1.2107,-4.0697,4.348
1.837077,-1.0564,1.5216,-3.9488,4.362
1.843822,-1.2417,1.6018,-3.7861,4.294
1.850318,-1.4651,2.0004,-3.4039,4.211
1.854349,-1.4683,2.5145,-2.8733,4.091
1.856328,-1.3090,2.9232,-2.1512,3.858
1.861993,-0.9252,3.3750,-1.4050,3.771
1.866192,-0.7622,3.5970,-0.8030,3.764
1.871554,-0.5230,3.6616,-0.3770,3.718
1.877549,-0.3130,3.6650,0.0605,3.679
1.883113,0.2269,3.5651,0.4095,3.596
1.888599,0.6321,3.2201,0.8377,3.387
1.892587,1.1326,2.6893,1.0187,3.091
1.897695,1.5274,1.9697,0.9668,2.673
1.904954,1.5965,1.1161,0.6339,2.048
1.907366,1.2591,0.2961,-0.0418,1.294
1.913313,0.7644,-0.2521,-0.7865,1.125
1.917424,0.3663,-0.5249,-1.3613,1.504
1.923714,0.1649,-0.5523,-1.6618,1.759
1.927597,0.0930,-0.4831,-1.7277,1.796
1.932630,0.0978,-0.2509,-1.5645,1.588
1.937302,0.1551,0.0817,-1.2877,1.300
1.945259,0.1501,0.4140,-0.9403,1.038
1.950519,0.0782,0.6498,-0.5366,0.846
1.954494,0.0397,0.8703,-0.2725,0.913
1.956398,0.0251,0.9843,-0.1144,0.991
1.961849,0.0296,1.0543,-0.0519,1.056
1.966694,0.0198,1.1330,-0.0416,1.134
1.972017,0.0051,1.1392,-0.1454,1.148
1.976582,0.0143,1.0828,-0.3254,1.131
1.982741,0.0426,0.9978,-0.5395,1.135
1.986848,0.0470,0.8556,-0.8025,1.174
1.992312,0.0417,0.6375,-1.0519,1.231
1.997274,0.0700,0.4584,-1.2734,1.355
2.002533,0.0935,0.2902,-1.4527,1.484
2.007083,0.1218,0.1039,-1.5032,1.512
2.013067,0.0639,0.0337,-1.6068,1.608
2.017127,0.1403,-0.2172,-1.6144,1.635
2.022623,0.1544,-0.4090,-1.5025,1.565
2.027902,0.0873,-0.4462,-1.3372,1.412
2.033279,0.1017,-0.4342,-1.1043,1.191
2.037575,0.0827,-0.3302,-0.8230,0.891
2.044230,0.1069,-0.1874,-0.4602,0.508
2.047715,0.1837,-0.0826,-0.0832,0.218
2.055093,0.2844,-0.0254,0.3122,0.423
2.057449,0.3227,0.0032,0.7313,0.799
2.061704,0.3658,0.0605,1.0590,1.122
2.066864,0.4327,0.1892,1.3332,1.414
2.071974,0.4373,0.3457,1.4533,1.557
2.077504,0.3269,0.3859,1.5870,1.666
2.083062,0.2978,0.3528,1.5811,1.647
2.088003,0.4314,0.3186,1.3686,1.470
2.092506,0.5983,0.2359,1.1224,1.294
2.097534,0.6931,0.1531,0.8240,1.088
2.103852,0.8071,0.0660,0.5028,0.953
2.107143,0.8683,0.0227,0.2311,0.899
2.112290,0.9248,-0.0433,0.0760,0.929
2.117058,0.9478,-0.1126,0.0329,0.955
2.123623,0.9902,-0.1129,0.0966,1.001
2.128361,1.0613,-0.1207,0.1657,1.081
2.132357,1.0368,-0.0929,0.1822,1.057
2.138205,0.9264,-0.0680,0.2130,0.953
2.144440,0.7587,0.0064,0.2148,0.789
2.151178,0.6057,0.0915,0.2355,0.656
2.154880,0.4672,0.2061,0.2844,0.584
2.156662,0.3241,0.3734,0.4665,0.680
2.162296,0.2338,0.5213,0.7096,0.911
2.166445,0.2344,0.6349,0.9511,1.167
2.172416,0.2445,0.7142,1.1912,1.410
2.186968,0.2737,0.7783,1.4105,1.634
2.187621,0.2453,0.8652,1.5421,1.785
2.187891,0.1020,0.9168,1.6097,1.855
2.192465,-0.0126,0.9140,1.5991,1.842
2.198242,-0.0219,0.8326,1.5010,1.717
2.203579,0.0596,0.7209,1.3541,1.535
2.207714,0.2030,0.6317,1.1587,1.335
2.214704,0.3893,0.5606,0.9389,1.161
2.217134,0.5849,0.4936,0.7290,1.057
2.223686,0.7946,0.4455,0.5625,1.071
2.228919,1.0614,0.4167,0.5160,1.252
2.232710,1.3183,0.3697,0.5366,1.471
2.238880,1.4506,0.3813,0.5141,1.586
2.254351,1.6402,0.2749,0.6640,1.791
2.255043,1.6718,0.2945,0.6845,1.830
2.255771,1.6938,0.2391,0.7719,1.877
2.259014,1.6680,0.1946,0.8687,1.891
2.262918,1.6806,0.1707,0.9079,1.918
2.267828,1.7315,0.1482,0.9232,1.968
2.272999,1.7154,0.1658,0.8861,1.938
2.277485,1.5989,0.2758,0.8209,1.818
2.284535,1.4156,0.4204,0.6512,1.614
2.287210,1.2469,0.5798,0.4915,1.460
2.292010,1.0545,0.6961,0.2936,1.297
2.297113,0.8574,0.7878,0.1432,1.173
2.303404,0.6797,0.8351,0.0548,1.078
2.307150,0.5738,0.8997,-0.0918,1.071
2.312432,0.5684,0.9482,-0.2820,1.141
2.317022,0.6921,0.9663,-0.4202,1.261
2.322669,0.8969,0.9445,-0.5442,1.412
2.328329,1.1301,0.9024,-0.5917,1.563
2.332044,1.3773,0.8977,-0.6437,1.766
2.338024,1.6625,0.9640,-0.6381,2.025
2.343627,1.9616,1.0917,-0.6419,2.335
2.350027,2.2699,1.2186,-0.5211,2.628
2.354732,2.5873,1.3113,-0.3145,2.918
2.356969,2.8709,1.3605,-0.0800,3.178
2.361939,3.1109,1.3378,0.1584,3.390
2.366715,3.3267,1.2866,0.3816,3.587
2.373312,3.4943,1.1929,0.5992,3.741
2.377926,3.6283,1.0813,0.8303,3.876
2.382555,3.7573,0.9475,1.0751,4.021
2.387604,3.7234,0.8830,1.2898,4.038
2.393408,3.4599,0.9162,1.4312,3.855
2.398303,3.0435,0.9988,1.4469,3.515
2.405017,2.5797,1.1059,1.3522,3.115
2.406972,2.0878,1.1169,1.1578,2.636
2.413157,1.5726,1.0792,0.9074,2.112
2.419175,1.0294,0.9399,0.5349,1.493
2.424436,0.4773,0.7899,0.1023,0.929
2.428480,-0.1266,0.6489,-0.4957,0.826
2.433405,-0.8349,0.4840,-1.3155,1.632
2.437301,-1.5180,0.3156,-2.1489,2.650
2.445662,-2.2861,0.2396,-2.9274,3.722
2.451328,-3.1293,0.1982,-3.4645,4.673
2.451818,-3.9042,0.1904,-3.9151,5.532
2.457467,-4.5536,0.1238,-4.2522,6.232
2.463321,-4.9869,0.0027,-4.5592,6.757
2.467298,-5.3432,0.0132,-4.8422,7.211
2.474308,-5.6035,0.0789,-5.0920,7.572
2.477642,-5.8540,0.2476,-5.1840,7.823
2.483641,-6.1187,0.4619,-5.1231,7.994
2.488622,-6.3495,0.5446,-4.9044,8.042
2.492612,-6.5611,0.5961,-4.5473,8.005
2.498935,-6.5523,0.5154,-4.0229,7.706
2.503308,-6.3666,0.3124,-3.3037,7.180
2.507602,-6.0808,-0.0029,-2.6487,6.633
2.513764,-5.8960,-0.4059,-2.1289,6.282
2.518211,-5.8932,-0.8198,-1.6227,6.167
2.523577,-5.9384,-1.3165,-1.0474,6.172
2.528964,-5.9595,-1.7566,-0.4222,6.227
2.532812,-6.0238,-2.0583,0.2333,6.370
2.538398,-5.8632,-2.5465,1.0517,6.478
2.550286,-5.7076,-2.8608,1.8012,6.634
2.551210,-5.6098,-2.8188,2.3134,6.691
2.552797,-5.5456,-2.6744,2.7312,6.735
2.557886,-5.4193,-2.5469,2.9349,6.669
2.562492,-5.2404,-2.5364,2.9250,6.515
2.567264,-4.9805,-2.5137,2.7164,6.205
2.573593,-4.5246,-2.4734,2.5346,5.746
2.578619,-4.1265,-2.2145,2.2166,5.181
2.584554,-3.7576,-1.9382,1.8154,4.601
2.588205,-3.4561,-1.7694,1.3745,4.119
2.592891,-3.1549,-1.6179,1.0427,3.696
2.598197,-2.8493,-1.4608,0.8531,3.314
2.604153,-2.5585,-1.2943,0.6855,2.948
2.607593,-2.3111,-1.1818,0.5971,2.664
2.612878,-2.0499,-1.1148,0.4586,2.378
2.617428,-1.7604,-1.0599,0.2847,2.074
2.622989,-1.3900,-1.0363,0.1431,1.740
2.628411,-0.9676,-1.0580,0.0199,1.434
2.632594,-0.5650,-1.0718,-0.1040,1.216
2.638517,-0.1151,-1.0916,-0.2099,1.118
2.643894,0.3485,-1.1122,-0.3602,1.220
2.649818,0.8258,-1.1329,-0.5692,1.513
2.655729,1.3073,-1.1436,-0.7796,1.904
2.657616,1.7880,-1.1341,-1.0629,2.369
2.662677,2.2729,-1.0896,-1.3331,2.851
2.667749,2.5132,-1.2251,-1.7526,3.300
2.673645,2.7674,-1.0860,-2.0872,3.632
2.678246,2.7437,-1.0119,-2.3616,3.759
2.682836,2.5859,-1.0231,-2.7293,3.896
2.687332,2.5286,-0.9287,-3.0458,4.066
2.692353,2.8254,-0.8054,-3.3570,4.461
2.698267,3.2750,-0.4946,-3.5177,4.832
2.703374,3.6667,-0.1722,-3.4650,5.048
2.707145,3.8189,0.0810,-3.3430,5.076
2.712740,3.7413,0.2745,-3.3291,5.016
2.718450,3.8793,0.4702,-3.1885,5.044
